INFO:root:T= 1649938309.124256 | command for setting LEDs duty cycle for reactor 3 to intensity 20 with period 1800.000000 seconds, fraction 0.350000 and cycle number 2000.000000 sent
INFO:root:T= 1649938309.134256 | asked for setting LEDs duty cycle for reactor 4 to intensity 20 with period 1800.000000 seconds, fraction 0.450000 and cycle number 2000.000000
INFO:root:T= 1649938309.654257 | received turbidity readings for turbi set 2: R5= 180.0 R6= 173.0 R7= 197.0 R8= 155.0
INFO:root:T= 1649938310.284258 | command for setting LEDs duty cycle for reactor 4 to intensity 20 with period 1800.000000 seconds, fraction 0.450000 and cycle number 2000.000000 sent
INFO:root:T= 1649938310.294258 | asked for setting LEDs duty cycle for reactor 5 to intensity 20 with period 1800.000000 seconds, fraction 0.571000 and cycle number 2000.000000
INFO:root:T= 1649938311.454259 | command for setting LEDs duty cycle for reactor 5 to intensity 20 with period 1800.000000 seconds, fraction 0.571000 and cycle number 2000.000000 sent
INFO:root:T= 1649938311.464260 | asked for setting LEDs duty cycle for reactor 6 to intensity 20 with period 1800.000000 seconds, fraction 0.714000 and cycle number 2000.000000
INFO:root:T= 1649938312.604261 | command for setting LEDs duty cycle for reactor 6 to intensity 20 with period 1800.000000 seconds, fraction 0.714000 and cycle number 2000.000000 sent
INFO:root:T= 1649938312.614261 | asked for setting LEDs duty cycle for reactor 7 to intensity 20 with period 1800.000000 seconds, fraction 0.857000 and cycle number 2000.000000
INFO:root:T= 1649938313.764263 | command for setting LEDs duty cycle for reactor 7 to intensity 20 with period 1800.000000 seconds, fraction 0.857000 and cycle number 2000.000000 sent
INFO:root:T= 1649938313.774263 | asked for setting LEDs duty cycle for reactor 8 to intensity 20 with period 1800.000000 seconds, fraction 1.000000 and cycle number 2000.000000
INFO:root:T= 1649938314.764264 | received turbidity readings for turbi set 1: R1= 178.0 R2= 190.0 R3= 156.0 R4= 209.0
INFO:root:T= 1649938314.914264 | command for setting LEDs duty cycle for reactor 8 to intensity 20 with period 1800.000000 seconds, fraction 1.000000 and cycle number 2000.000000 sent
INFO:root:T= 1649938315.874266 | received turbidity readings for turbi set 2: R5= 173.0 R6= 175.0 R7= 202.0 R8= 158.0
INFO:root:T= 1649938321.024273 | received turbidity readings for turbi set 1: R1= 182.0 R2= 195.0 R3= 152.0 R4= 214.0
INFO:root:T= 1649938322.124274 | received turbidity readings for turbi set 2: R5= 180.0 R6= 170.0 R7= 202.0 R8= 155.0
INFO:root:T= 1649938327.214282 | received turbidity readings for turbi set 1: R1= 183.0 R2= 194.0 R3= 154.0 R4= 208.0
INFO:root:T= 1649938328.294283 | received turbidity readings for turbi set 2: R5= 183.0 R6= 172.0 R7= 195.0 R8= 152.0
INFO:root:T= 1649938333.404290 | received turbidity readings for turbi set 1: R1= 181.0 R2= 191.0 R3= 150.0 R4= 204.0
INFO:root:T= 1649938334.434292 | received turbidity readings for turbi set 2: R5= 179.0 R6= 171.0 R7= 200.0 R8= 156.0
INFO:root:T= 1649938334.444292 | computed average of 6 turbidity readings after excluding 0 highest {1: 180.5, 2: 193.0, 3: 153.33333333333334, 4: 209.33333333333334, 5: 179.66666666666666, 6: 173.5, 7: 200.16666666666666, 8: 155.5}
INFO:root:T= 1649938334.454292 | applied calibration on turbidity readings average {1: 0.7083993953578069, 2: 0.7074842980901881, 3: 0.588661235295775, 4: 0.7816402108094622, 5: 0.6393616989902835, 6: 0.6616972727524759, 7: 0.7633081617855302, 8: 0.5285391870162925}
INFO:root:T= 1649938334.454292 | asked for command Valve B1 OFF
INFO:root:T= 1649938334.464292 | finished for command Valve B1 OFF
INFO:root:T= 1649938334.464292 | asked for command Valve B2 OFF
INFO:root:T= 1649938334.474292 | finished for command Valve B2 OFF
INFO:root:T= 1649938334.474292 | asked for command Valve B3 OFF
INFO:root:T= 1649938334.484292 | finished for command Valve B3 OFF
INFO:root:T= 1649938334.484292 | asked for command Valve F1 OFF
WARNING:root:useless (state already as asked) command asked Valve F1 OFF, so not doing it
INFO:root:T= 1649938334.484292 | asked for command Valve F2 OFF
WARNING:root:useless (state already as asked) command asked Valve F2 OFF, so not doing it
INFO:root:T= 1649938334.484292 | asked for command Valve F3 OFF
WARNING:root:useless (state already as asked) command asked Valve F3 OFF, so not doing it
INFO:root:T= 1649938334.494292 | asked for command Valve F4 OFF
WARNING:root:useless (state already as asked) command asked Valve F4 OFF, so not doing it
INFO:root:T= 1649938334.494292 | asked for command Valve F5 OFF
WARNING:root:useless (state already as asked) command asked Valve F5 OFF, so not doing it
INFO:root:T= 1649938334.494292 | asked for command Valve F6 OFF
WARNING:root:useless (state already as asked) command asked Valve F6 OFF, so not doing it
INFO:root:T= 1649938334.494292 | asked for command Valve F7 OFF
WARNING:root:useless (state already as asked) command asked Valve F7 OFF, so not doing it
INFO:root:T= 1649938334.504292 | asked for command Valve F8 OFF
WARNING:root:useless (state already as asked) command asked Valve F8 OFF, so not doing it
INFO:root:T= 1649938334.504292 | sending request gotobin to the ot2
INFO:root:T= 1649938334.554292 | Finished request gotobin to the ot2
INFO:root:T= 1649938334.554292 | asked for opening Pump H1 for duration 12.000000 seconds
INFO:root:T= 1649938334.554292 | asked for command Pump H1 ON
INFO:root:T= 1649938334.564292 | finished for command Pump H1 ON
INFO:root:T= 1649938334.564292 | asked for opening Pump H2 for duration 12.000000 seconds
